1,agent,"Hi, how can I help you?"
1,user,"Hi! I am looking for a rental apartment in Williamsburg."
2,agent,"Williamsburg is a nice area. What other preferences do you have, such as bedroom, price etc.?"
2,user,"Could you check if there is any 2 bedrooms under $3000?"
3,agent,"54 apartments found. Do you have a preference on year-built or price?"
3,user,"I prefer newer buildings."
4,agent,"Got it! There are 7 apartments built after 2000. {{copy searched results}}"
4,user,"These options look good. Send me the list of those apartments please."
5,agent,"Done! Is there anything else that I can help you with?"
5,user,"No that's it. Thank you. Bye!"
